No,Expt.,ClogP,Polarizability,Predicted,Residual,Predicted,Residual,Predicted,Residual,Predicted,Residual,Data Source ID,Name,SLN
22,-4.93,5.43,250.647,-5.4651,0.5350999999999999,-5.5455,0.6154999999999999,-5.2938,0.36380000000000035,-5.3824,0.4523999999999999,1,bromopropylate,BrC[2]=CHCH=C(CH=CH@2)C(OH)(C[15]=CHCH=C(CH=CH@15)Br)C(=O)OCH(CH3)CH3
23,-3.08,2.29,127.421,-2.6204,-0.4596,-2.5769,-0.5030999999999999,-2.7534,-0.3266,-2.8125,-0.26750000000000007,1,4-bromoacetanilide,BrC[2]=CHCH=C(CH=CH@2)NHC(=O)CH3
24,-1.09,2.49,96.446,-2.2503,1.1603,-2.1679,1.0778999999999999,-2.2069,1.1169,-2.1507,1.0607,1,4-bromophenol,BrC[2]=CHCH=C(CH=CH@2)OH
25,-2.55,2.99,92.139,-2.3375,-0.2124999999999999,-2.2471,-0.3028999999999997,-2.3618,-0.1881999999999997,-2.3208,-0.22919999999999963,1,bromobenzene,BrC[2]=CHCH=CHCH=CH@2
26,-2.3,3.21,94.107,-2.4546,0.1546000000000003,-2.2371,-0.06289999999999996,-2.4851,0.18510000000000026,-2.3531,0.05310000000000015,1,bromocyclohexane,BrC[2]HCH2CH2CH2CH2CH2@2
27,-3.12,0.9,160.684,-3.1119,-0.008100000000000218,-3.3405,0.22049999999999992,-2.975,-0.14500000000000002,-3.2438,0.12379999999999969,1,brompyrazone,BrC[2]=C(CH=NN(C@2=O)C[10]=CHCH=CHCH=CH@10)NH2
29,-3.14,3.57,100.665,-3.7688,0.6288,-3.9729,0.8329,-3.5551,0.4150999999999998,-3.6616,0.5215999999999998,1,tetrabromomethane,BrC(Br)(Br)Br
31,-2.68,1.6,134.001,-2.466,-0.21399999999999997,-2.4576,-0.22240000000000038,-2.4472,-0.23280000000000012,-2.2967,-0.3833000000000002,1,carbromal,BrC(CH2CH3)(CH2CH3)C(=O)NHC(=O)NH2
34,-1.17,1.54,59.201,-1.6077,0.4377,-1.6724,0.5024000000000002,-1.7251,0.5551000000000001,-1.8072,0.6372,1,dibromomethane,BrCH2Br
35,-1.68,2.08,71.685,-1.7576,0.07760000000000011,-1.7427,0.06269999999999998,-1.9409,0.26090000000000013,-1.9805,0.3005,1,"1,2-dibromoethane",BrCH2CH2Br
36,-2.08,2.56,84.169,-2.0211,-0.05889999999999995,-1.9523,-0.12770000000000015,-2.2291,0.1490999999999998,-2.2163,0.13629999999999987,1,"1,3-dibromopropane",BrCH2CH2CH2Br
37,-5.06,4.87,125.857,-3.6439,-1.4160999999999997,-3.4531,-1.6068999999999996,-3.8168,-1.2431999999999994,-3.6842,-1.3757999999999995,1,1-bromooctane,BrCH2CH2CH2CH2CH2CH2CH2CH3
38,-4.43,4.34,113.373,-3.1942,-1.2357999999999998,-2.9986,-1.4313999999999996,-3.3483,-1.0816999999999997,-3.2042,-1.2257999999999996,1,1-bromoheptane,BrCH2CH2CH2CH2CH2CH2CH3
39,-3.81,3.8,100.889,-2.7423,-1.0676999999999999,-2.5531,-1.2569,-2.8851,-0.9249,-2.7441,-1.0659,1,1-bromohexane,BrCH2CH2CH2CH2CH2CH3
40,-3.07,3.27,88.405,-2.2938,-0.7761999999999998,-2.1155,-0.9544999999999999,-2.4117,-0.6582999999999997,-2.2805,-0.7894999999999999,1,1-bromopentane,BrCH2CH2CH2CH2CH3
41,-2.37,2.74,75.921,-1.8433,-0.5267000000000002,-1.6836,-0.6864000000000001,-1.9273,-0.4427000000000001,-1.8188,-0.5512000000000001,1,1-bromobutane,BrCH2CH2CH2CH3
42,-1.85,2.18,76.603,-1.6821,-0.16790000000000016,-1.6226,-0.22740000000000005,-1.9219,0.07189999999999985,-1.9251,0.07509999999999994,1,1-bromo-3-chloropropane,BrCH2CH2CH2Cl
43,-1.73,2.21,63.437,-1.3866,-0.3433999999999999,-1.2531,-0.4768999999999999,-1.4547,-0.2752999999999999,-1.3664,-0.3635999999999999,1,1-bromopropane,BrCH2CH2CH3
44,-2.89,3.09,88.405,-2.1925,-0.6975000000000002,-2.0656,-0.8244000000000002,-2.3249,-0.5651000000000002,-2.2252,-0.6648000000000001,1,1-bromo-3-methylbutane,BrCH2CH2CH(CH3)CH3
45,-1.32,1.61,64.119,-1.3742,0.054200000000000026,-1.3963,0.07630000000000003,-1.586,0.266,-1.663,0.34299999999999997,1,1-chloro-2-bromoethane,BrCH2CH2Cl
46,-1.09,1.68,50.953,-0.9142,-0.17580000000000007,-0.814,-0.27600000000000013,-0.9097,-0.18030000000000013,-0.8517,-0.23830000000000007,1,bromoethane,BrCH2CH3
47,-1.5,1.79,62.781,-1.1223,-0.3776999999999999,-1.0881,-0.41189999999999993,-1.2284,-0.27160000000000006,-1.224,-0.276,1,3-bromopropylene,BrCH2CH=CH2
48,-2.43,2.56,75.921,-1.7356,-0.6944000000000001,-1.627,-0.8030000000000002,-1.7917,-0.6383000000000001,-1.6918,-0.7382000000000002,1,1-bromo-2-methylpropane,BrCH2CH(CH3)CH3
49,-0.89,1.41,51.635,-1.3265,0.4365,-1.3094,0.4193999999999999,-1.479,0.5890000000000001,-1.4814,0.5914,1,bromochloromethane,BrCH2Cl
51,-1.91,2.29,79.933,-2.6661,0.7561000000000002,-2.9059,0.9959,-2.7004,0.7904000000000002,-2.9266,1.0166000000000002,1,bromoform,BrCH(Br)Br
52,-1.9,2.2,72.367,-2.4757,0.5756999999999999,-2.6367,0.7366999999999999,-2.5635,0.6635,-2.7219,0.8219000000000003,1,chlorodibromomethane,BrCH(Br)Cl
53,-2.38,2.65,97.335,-2.5347,0.15470000000000006,-2.5775,0.19750000000000023,-2.6984,0.3184,-2.7385,0.35850000000000026,1,"1,2-dibromo-3-chloropropane",BrCH(CH2Br)CH2Cl
54,-2.15,2.43,84.169,-2.046,-0.10400000000000009,-2.0809,-0.06909999999999972,-2.0993,-0.05069999999999997,-2.1266,-0.023400000000000087,1,"1,2-dibromopropane",BrCH(CH2Br)CH3
55,-1.59,2.03,63.437,-1.2269,-0.3631,-1.1818,-0.4082000000000001,-1.2082,-0.38180000000000014,-1.1699,-0.42010000000000014,1,2-bromopropane,BrCH(CH3)CH3
56,-1.71,2.3,65.445,-2.6118,0.9018000000000002,-2.7657,1.0556999999999999,-2.5916,0.8816000000000002,-2.6623,0.9523000000000001,1,halothane,BrCH(Cl)C(F)(F)F
57,-1.54,2.02,64.801,-2.2112,0.6711999999999998,-2.3145,0.7744999999999997,-2.3554,0.8153999999999999,-2.4733,0.9333,1,bromodichloromethane,BrCH(Cl)Cl
58,-1.32,2.07,71.029,-1.9264,0.6063999999999998,-1.9699,0.6498999999999999,-2.1362,0.8162,-2.2568,0.9368000000000001,1,"1,2-dibromoethylene",BrCH=[S=I]CHBr
59,-1.32,2.07,71.029,-1.9264,0.6063999999999998,-1.9699,0.6498999999999999,-2.0464,0.7264000000000002,-2.1111,0.7910999999999999,1,"1,2-dibromoethylene",BrCH=[S=N]CHBr
61,-9.03,6.89,231.993,-8.7842,-0.24579999999999913,-8.7274,-0.3026,-8.7386,-0.29139999999999944,-8.7065,-0.32349999999999923,1,benzo(ghi)perylene,C[1]C[2]C[3]C[4]C[5]=C@1C(CH=CHC=@1CH=CHC=@2CH=CHC=@3CH=CHCH=@4)=CHCH=CH@5
62,-7.8,6.4,214.463,-7.768,-0.03200000000000003,-7.7176,-0.0823999999999998,-7.8278,0.027800000000000047,-7.7627,-0.03730000000000011,1,benzo(e)pyrene,C[1]C[2]C[3]C[4]=C(C@1=CHCH=CHC=@1CH=CHC=@2CH=CHCH=@3)CH=CHCH=CH@4
63,-8.19,6.4,214.463,-7.768,-0.4219999999999997,-7.7176,-0.4723999999999995,-7.7972,-0.39279999999999937,-7.7577,-0.4322999999999997,1,benzo(a)pyrene,C[1]=C[2]C[3]=CHCH=C@1C[9]=C(CH=C@1CH=CHC@2=CHCH=CH@3)CH=CHCH=CH@9
64,-6.19,5.17,172.621,-6.1104,-0.07960000000000012,-6.0734,-0.11660000000000004,-6.1108,-0.07920000000000016,-6.1147,-0.07530000000000037,1,pyrene,C[1]=C[2]C[3]=CHCH=C@1CH=CHCH=C@1CH=CHC@2=CHCH=CH@3
66,-8.23,6.4,214.463,-7.768,-0.46200000000000063,-7.7176,-0.5124000000000004,-7.7744,-0.45560000000000045,-7.7581,-0.47190000000000065,1,benzo(b)fluoranthene,C[1]C[2]=C(CH=C[6]C@1=C(CH=CHCH=@1)C[15]=C@6CH=CHCH=CH@15)CH=CHCH=CH@2
67,-8.66,7.14,238.775,-8.3682,-0.2918000000000003,-8.3017,-0.35829999999999984,-8.5478,-0.11219999999999963,-8.5042,-0.15579999999999927,1,"dibenz(a,h)anthracene",C[1]C[2]=C(CH=CHC@1=CHC[11]C[12]=C(CH=CHC=@11CH=@1)CH=CHCH=CH@12)CH=CHCH=CH@2
68,-5.26,4.68,155.091,-5.0551,-0.20489999999999942,-5.0161,-0.2439,-5.1485,-0.11149999999999949,-5.1107,-0.1493000000000002,1,phenantherene,C[1]C[2]=C(CH=CHC@1=CHCH=CHCH=@1)CH=CHCH=CH@2
69,-8,6.4,214.463,-7.768,-0.2320000000000002,-7.7176,-0.2824,-7.784,-0.2160000000000002,-7.783,-0.21699999999999964,1,benzo(j)fluoranthene,C[1]C[2]=CHCH=CHC=@1C[10]C[11]=C(CH=CHC=@10C@1=CHCH=CH@2)CH=CHCH=CH@11
70,-8.8,6.4,214.463,-7.768,-1.032000000000001,-7.7176,-1.0824000000000007,-7.8366,-0.9634000000000009,-7.7825,-1.017500000000001,1,perylene,C[1]C[2]=CHCH=CHC=@1C[10]=C[11]C(CH=CHCH=C@11C@1=CHCH=CH@2)=CHCH=CH@10
71,-8.49,6.4,214.463,-7.768,-0.7220000000000004,-7.7176,-0.7724000000000002,-7.7246,-0.7654000000000005,-7.7191,-0.7709000000000001,1,benzo(k)fluoranthene,C[1]C[2]=CHCH=CHC=@1C[10]=C(CH=C[14]C(=CH@10)CH=CHCH=CH@14)C@1=CHCH=CH@2
72,-6,5.17,172.621,-6.1104,0.11040000000000028,-6.0734,0.07340000000000035,-6.0519,0.051899999999999835,-6.0559,0.05590000000000028,1,fluoranthene,C[1]C[2]=CHCH=CHC=@1C[10]=C(CH=CHCH=CH@10)C@1=CHCH=CH@2
73,-6.74,5.91,196.933,-6.7392,-0.0007999999999999119,-6.6924,-0.04760000000000009,-6.9241,0.18409999999999993,-6.8693,0.12929999999999975,1,triphenylene,C[1]C(C[3]=C(C[5]=C@1CH=CHCH=CH@5)CH=CHCH=CH@3)=CHCH=CHCH=@1
74,-8.06,5.91,196.933,-6.7392,-1.3208000000000002,-6.6924,-1.3676000000000004,-6.8665,-1.1935000000000002,-6.7956,-1.2644000000000002,1,chrysene,C[1]C(=C[3]C(=CHCH=@1)CH=CHCH=CH@3)CH=CHC[21]=C@1CH=CHCH=CH@21
75,-8.6,5.91,196.933,-6.7392,-1.8607999999999993,-6.6924,-1.9075999999999995,-6.7829,-1.8171,-6.7302,-1.8697999999999997,1,naphthacene,C[1]C(=CHC[5]=C(CH=@1)CH=CHCH=CH@5)CH=C[19]C(=CH@1)CH=CHCH=CH@19
76,-6.35,4.68,155.091,-5.0551,-1.2948999999999993,-5.0161,-1.3338999999999999,-5.1124,-1.2375999999999996,-5.0667,-1.2832999999999997,1,anthracene,C[1]C(=CHC[5]=C(CH=@1)CH=CHCH=CH@5)CH=CHCH=CH@1
77,-3.6,3.45,113.249,-3.3159,-0.2841,-3.2727,-0.32730000000000015,-3.3656,-0.23439999999999994,-3.3077,-0.2923,1,naphthalene,C[1]C(=CHCH=CHCH=@1)CH=CHCH=CH@1
78,-4.48,4.35,98.343,-4.4765,-0.0035000000000007248,-4.4981,0.01809999999999956,-4.388,-0.09200000000000053,-4.4716,-0.008400000000000851,1,"1,1,3-trimethylcyclopentane",C[1](CH2CH(CH2CH2@1)CH3)(CH3)CH3
79,-7.11,5.63,203.715,-6.2093,-0.9007000000000005,-6.1579,-0.9521000000000006,-6.3364,-0.7736000000000001,-6.3263,-0.7837000000000005,1,p-terphenyl,C[1](=CHCH=C(CH=CH@1)C[11]=CHCH=CHCH=CH@11)C[22]=CHCH=CHCH=CH@22
80,-4.31,3.98,137.561,-3.9479,-0.3620999999999994,-3.8876,-0.42239999999999966,-4.031,-0.2789999999999999,-3.9787,-0.3312999999999997,1,biphenyl,C[1](=CHCH=CHCH=CH@1)C[12]=CHCH=CHCH=CH@12
81,-2.82,2.7,95.719,-2.3718,-0.44819999999999993,-2.3906,-0.4293999999999998,-2.5417,-0.27829999999999977,-2.5284,-0.29159999999999986,1,styrene,C[1](=CHCH=CHCH=CH@1)CH=CH2
82,-6.68,5.39,185.105,-6.5351,-0.1448999999999998,-6.4409,-0.23909999999999965,-6.5727,-0.1072999999999995,-6.6486,-0.03139999999999965,1,benzo(a)fluorene,C[1]H2C[4]C[5]=C(CH=CHC=@4C[12]=C@1CH=CHCH=CH@12)CH=CHCH=CH@5
83,-8.04,5.39,185.105,-6.5351,-1.5048999999999992,-6.4409,-1.599099999999999,-6.5559,-1.4840999999999989,-6.6427,-1.3972999999999995,1,benzo(b)fluorene,C[1]H2C[4]=C(CH=C[8]C(=CH@4)CH=CHCH=CH@8)C[20]=C@1CH=CHCH=CH@20
84,-5.22,4.62,155.747,-5.5396,0.31960000000000033,-5.5105,0.29050000000000065,-5.5228,0.3028000000000004,-5.6682,0.44819999999999993,1,1-methylfluorene,C[1]H2C[4]=C(CH=CHCH=C@4CH3)C[17]=C@1CH=CHCH=CH@17
85,-4.91,4.16,143.263,-4.8721,-0.03790000000000049,-4.7817,-0.1283000000000003,-4.8767,-0.03330000000000055,-4.9618,0.05180000000000007,1,fluorene,C[1]H2C[4]=C(CH=CHCH=CH@4)C[14]=C@1CH=CHCH=CH@14
86,-5.96,5.75,174.589,-6.9847,1.0247000000000002,-7.0066,1.0465999999999998,-6.7093,0.7492999999999999,-6.9195,0.9595000000000002,1,"1,2,3,6,7,8-hexahydropyrene",C[1]H2CH2C[7]=C[8]C[9]C(=CHCH=C@8CH2@1)CH2CH2CH2C=@9CH=CH@7
88,-7.92,7.11,227.603,-8.6367,0.7166999999999994,-8.6151,0.6951,-8.504,0.5839999999999996,-8.6172,0.6972000000000005,1,3-methylcholanthrene,C[1]H2CH2C[7]C[8]=C(CH=C[12]C[13]=C(CH=CHC@12=C@1@8)CH=CHCH=CH@13)CH=CHC=@7CH3
90,-4.63,4.19,131.435,-4.8006,0.1706000000000003,-4.734,0.10400000000000009,-4.618,-0.011999999999999567,-4.689,0.05900000000000016,1,acenaphthene,C[1]H2CH2C[7]C[8]=C(CH=CHCH=C@1@8)CH=CHCH=@7
91,-3.04,3.34,102.077,-3.6841,0.6440999999999999,-3.6718,0.6318000000000001,-3.5492,0.5091999999999999,-3.6785,0.6385000000000001,1,indane,C[1]H2CH2C[7]=C(CH=CHCH=CH@7)CH2@1
93,-2.64,2.82,60.891,-3.3257,0.6856999999999998,-3.2524,0.6124,-3.2285,0.5884999999999998,-3.2699,0.6298999999999997,1,cyclopentane,C[1]H2CH2CH2CH2CH2@1
94,-3.1,3.39,73.375,-3.7341,0.6341000000000001,-3.6729,0.5728999999999997,-3.7344,0.6343999999999999,-3.7664,0.6663999999999999,1,cyclohexane,C[1]H2CH2CH2CH2CH2CH2@1
95,-3.52,3.95,85.859,-4.1347,0.6146999999999996,-4.0881,0.5680999999999998,-4.1806,0.6606000000000001,-4.187,0.6670000000000003,1,cycloheptane,C[1]H2CH2CH2CH2CH2CH2CH2@1
96,-4.15,4.51,98.343,-4.5311,0.3811,-4.4981,0.34809999999999963,-4.5519,0.4018999999999995,-4.5423,0.39229999999999965,1,cyclooctane,C[1]H2CH2CH2CH2CH2CH2CH2CH2@1
97,-3.27,3.49,85.203,-3.5459,0.27590000000000003,-3.4751,0.20509999999999984,-3.4579,0.18789999999999996,-3.4593,0.1892999999999998,1,1-methylcyclohexene,C[1]H2CH2CH2CH=C(CH2@1)CH3
98,-2.59,2.89,72.719,-3.0188,0.4288000000000003,-2.9536,0.3635999999999999,-3.0046,0.4146000000000001,-3.0126,0.4226000000000001,1,cyclohexene,C[1]H2CH2CH2CH=CHCH2@1
100,-2.1,2.33,60.235,-2.4868,0.38680000000000003,-2.4101,0.3100999999999998,-2.3971,0.2970999999999999,-2.4006,0.30059999999999976,1,cyclopentene,C[1]H2CH2CH=CHCH2@1
101,-1.97,2.3,72.063,-2.2727,0.30269999999999997,-2.2342,0.2642,-2.2214,0.25140000000000007,-2.225,0.2550000000000001,1,"1,4-cyclohexadiene",C[1]H2CH=CHCH2CH=CH@1
102,-2.15,2.49,83.891,-2.275,0.125,-2.1942,0.04420000000000002,-2.2939,0.14389999999999992,-2.2155,0.06550000000000011,1,cycloheptatriene,C[1]H2CH=CHCH=CHCH=CH@1
103,-2.15,2.49,83.891,-2.2749,0.12490000000000023,-2.1974,0.04740000000000011,-2.2909,0.14090000000000025,-2.2103,0.06030000000000024,1,cycloheptatriene,C[1]H2CH=CHCH=CHCH=CH@1
105,-4.74,4.38,98.343,-4.4867,-0.2533000000000003,-4.4981,-0.24190000000000023,-4.392,-0.34799999999999986,-4.5099,-0.2301000000000002,1,n-Propylcyclopentane,C[1]H(CH2CH2CH2CH2@1)CH2CH2CH3
106,-3.3,3.31,73.375,-3.7068,0.40680000000000005,-3.6729,0.3729,-3.6301,0.3301000000000003,-3.7037,0.40370000000000017,1,methylcyclopentane,C[1]H(CH2CH2CH2CH2@1)CH3
107,-4.25,4.41,98.343,-4.4969,0.24690000000000012,-4.4981,0.2481,-4.4781,0.2281000000000004,-4.5563,0.30630000000000024,1,ethylcyclohexane,C[1]H(CH2CH2CH2CH2CH2@1)CH2CH3
108,-3.85,3.88,85.859,-4.1109,0.2608999999999999,-4.0881,0.23809999999999976,-4.1057,0.2556999999999996,-4.1622,0.31220000000000026,1,methylcyclohexane,C[1]H(CH2CH2CH2CH2CH2@1)CH3
109,-4.47,4.37,98.343,-4.4833,0.01330000000000009,-4.4981,0.028100000000000236,-4.4574,-0.012599999999999945,-4.5393,0.06930000000000014,1,"1,4-dimethylcyclohexane",C[1]H(CH2CH2CH(CH2CH2@1)CH3)CH3
110,-4,4.45,121.999,-4.3512,0.3512000000000004,-4.3767,0.3766999999999996,-4.2867,0.28669999999999973,-4.3298,0.32979999999999965,1,d-limonene,C[1]H(CH2CH2C(=CHCH2@1)CH3)C(=CH2)CH3
112,-4.27,4.37,98.343,-4.4833,0.21330000000000027,-4.4981,0.2281000000000004,-4.4629,0.19290000000000074,-4.5303,0.26030000000000086,1,"trans-1,2-dimethylcyclohexane",C[1]H(CH(CH2CH2CH2CH2@1)CH3)CH3
113,-1.64,2.22,71.407,-1.5217,-0.11829999999999985,-1.4623,-0.17769999999999997,-1.5752,-0.06479999999999997,-1.5122,-0.1277999999999999,1,benzene,C[1]H=CHCH=CHCH=CH@1
114,-3.96,4.27,130.779,-4.6024,0.6424000000000003,-4.3241,0.36409999999999965,-4.5344,0.5743999999999998,-4.3711,0.41110000000000024,1,acenaphthylene,C[1]H=CHC[5]C[6]=C(CH=CHCH=C@1@6)CH=CHCH=@5
119,-4.15,4.44,133.827,-4.3563,0.2062999999999997,-4.5542,0.40419999999999945,-4.3859,0.2359,-4.472,0.32200000000000006,1,t-amylbenzene,C(CH2CH3)(CH3)(CH3)C[17]=CHCH=CHCH=CH@17
120,-3.55,3.58,80.157,-3.6761,0.1261000000000001,-3.7602,0.2102000000000004,-3.7384,0.18840000000000012,-3.7627,0.21270000000000033,1,"2,2-dimethylbutane",C(CH2CH3)(CH3)(CH3)CH3
122,-3.66,3.91,121.343,-3.8779,0.21789999999999976,-4.0577,0.3976999999999995,-3.8947,0.2346999999999997,-3.9805,0.3205,1,t-butylbenzene,C(CH3)(CH3)(CH3)C[14]=CHCH=CHCH=CH@14
124,-4.17,4.21,150.045,-4.3602,0.19019999999999992,-4.4176,0.24760000000000026,-4.4736,0.3036000000000003,-4.5181,0.34809999999999963,1,diphenylmethane,CH2(C[4]=CHCH=CHCH=CH@4)C[15]=CHCH=CHCH=CH@15
126,-4.62,4.7,162.529,-4.8361,0.21609999999999996,-4.9222,0.3022,-4.9211,0.3010999999999999,-5.036,0.4159999999999995,1,bibenzyl,CH2(CH2C[7]=CHCH=CHCH=CH@7)C[18]=CHCH=CHCH=CH@18
127,-3.37,3.74,108.859,-3.495,0.125,-3.5337,0.16369999999999996,-3.4733,0.10329999999999995,-3.5207,0.15070000000000006,1,n-propylbenzene,CH2(CH2C[7]=CHCH=CHCH=CH@7)CH3
129,-1.64,2.06,63.009,-1.5585,-0.0814999999999999,-1.4839,-0.1560999999999999,-1.5277,-0.11229999999999984,-1.4522,-0.18779999999999997,1,1-pentyne,CH2(CH2C#CH)CH3
130,-4.64,4.8,133.827,-4.4792,-0.16080000000000005,-4.5542,-0.08579999999999988,-4.4933,-0.14670000000000005,-4.5969,-0.043099999999999916,1,n-pentylbenzene,CH2(CH2CH2C[10]=CHCH=CHCH=CH@10)CH2CH3
131,-3.01,3.12,87.977,-2.4734,-0.5366,-2.3604,-0.6496,-2.4926,-0.5173999999999999,-2.3823,-0.6276999999999999,1,1-heptyne,CH2(CH2CH2C#CH)CH2CH3
132,-4.24,4.19,112.945,-3.3959,-0.8441000000000001,-3.2723,-0.9677000000000002,-3.4544,-0.7856000000000001,-3.3349,-0.9051,1,1-nonyne,CH2(CH2CH2CH2C#CH)CH2CH2CH3
139,-5.24,5.01,105.125,-4.5776,-0.6623999999999999,-4.5838,-0.6562000000000001,-4.5769,-0.6631,-4.6301,-0.6099000000000006,1,n-octane,CH2(CH2CH2CH2CH3)CH2CH2CH3
140,-5.05,5.03,116.953,-4.4308,-0.6192000000000002,-4.4565,-0.5934999999999997,-4.5201,-0.5298999999999996,-4.5643,-0.4856999999999996,1,1-nonene,CH2(CH2CH2CH2CH=CH2)CH2CH2CH3
141,-5.21,5.34,146.311,-4.9394,-0.27059999999999995,-5.0287,-0.18130000000000024,-4.9446,-0.26539999999999964,-5.0611,-0.14890000000000025,1,n-hexylbenzene,CH2(CH2CH2CH3)CH2CH2C[20]=CHCH=CHCH=CH@20
142,-3.66,3.65,100.461,-2.932,-0.7280000000000002,-2.8114,-0.8486000000000002,-2.9656,-0.6944000000000004,-2.8407,-0.8193000000000001,1,1-octyne,CH2(CH2CH2CH3)CH2CH2C#CH
143,-4.53,4.47,92.641,-4.1887,-0.3413000000000004,-4.1746,-0.3554000000000004,-4.2314,-0.2986000000000004,-4.2451,-0.2849000000000004,1,n-heptane,CH2(CH2CH2CH3)CH2CH2CH3
144,-4.44,4.5,104.469,-3.9964,-0.44360000000000044,-4.0009,-0.4391000000000007,-4.0934,-0.34660000000000046,-4.1116,-0.32840000000000025,1,1-octene,CH2(CH2CH2CH3)CH2CH2CH=CH2
145,-3.84,3.94,80.157,-3.7989,-0.04109999999999969,-3.7602,-0.07979999999999965,-3.7955,-0.04449999999999976,-3.7899,-0.05010000000000003,1,n-hexane,CH2(CH2CH2CH3)CH2CH3
147,-4.06,4.27,121.343,-4.0007,-0.059299999999999464,-4.0577,-0.0022999999999999687,-3.9892,-0.07079999999999975,-4.0694,0.009400000000000297,1,n-butylbenzene,CH2(CH2CH3)CH2C[14]=CHCH=CHCH=CH@14
148,-2.36,2.59,75.493,-2.0161,-0.3439000000000001,-1.9183,-0.4417,-1.9997,-0.36029999999999984,-1.9057,-0.4542999999999999,1,1-hexyne,CH2(CH2CH3)CH2C#CH
149,-3.18,3.41,67.673,-3.4048,0.22479999999999967,-3.3404,0.16039999999999965,-3.4459,0.2658999999999998,-3.4003,0.22029999999999994,1,n-pentane,CH2(CH2CH3)CH2CH3
150,-3.23,3.43,79.501,-3.0585,-0.17149999999999999,-3.0229,-0.20710000000000006,-3.1578,-0.07220000000000004,-3.1125,-0.11750000000000016,1,1-hexene,CH2(CH2CH3)CH2CH=CH2
151,-3.82,3.96,91.985,-3.561,-0.2589999999999999,-3.5435,-0.27649999999999997,-3.5226,-0.29739999999999966,-3.517,-0.30299999999999994,1,trans-2-heptene,CH2(CH2CH3)CH2CH=[S=N]CHCH3
